"No.","Tên Xã","Chú thích về Xã","No.","Tên Quận/Huyện","Chú thích về Quận/Huyện","No.","Tên Tĩnh","Chú thích về Tĩnh","Tạo từ","Lần cuối chỉnh sửa","Lần cuối xóa"
"","Xã 36","Chú thích về Xã 36","","Huyện 845","Chú thích về Huyện 845","","Tỉnh 44","Chú thích về Tỉnh 44","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 37","Chú thích về Xã 37","","Huyện 437","Chú thích về Huyện 437","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 38","Chú thích về Xã 38","","Huyện 675","Chú thích về Huyện 675","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 39","Chú thích về Xã 39","","Huyện 484","Chú thích về Huyện 484","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 40","Chú thích về Xã 40","","Huyện 386","Chú thích về Huyện 386","","Tỉnh 8","Chú thích về Tỉnh 8","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 41","Chú thích về Xã 41","","Huyện 946","Chú thích về Huyện 946","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 42","Chú thích về Xã 42","","Huyện 879","Chú thích về Huyện 879","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 43","Chú thích về Xã 43","","Huyện 290","Chú thích về Huyện 290","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 44","Chú thích về Xã 44","","Huyện 729","Chú thích về Huyện 729","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 45","Chú thích về Xã 45","","Huyện 562","Chú thích về Huyện 562","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 46","Chú thích về Xã 46","","Huyện 843","Chú thích về Huyện 843","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 47","Chú thích về Xã 47","","Huyện 769","Chú thích về Huyện 769","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 48","Chú thích về Xã 48","","Huyện 111","Chú thích về Huyện 111","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 49","Chú thích về Xã 49","","Huyện 183","Chú thích về Huyện 183","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 50","Chú thích về Xã 50","","Huyện 233","Chú thích về Huyện 233","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 51","Chú thích về Xã 51","","Huyện 909","Chú thích về Huyện 909","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 52","Chú thích về Xã 52","","Huyện 640","Chú thích về Huyện 640","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 53","Chú thích về Xã 53","","Huyện 517","Chú thích về Huyện 517","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 54","Chú thích về Xã 54","","Huyện 597","Chú thích về Huyện 597","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 55","Chú thích về Xã 55","","Huyện 311","Chú thích về Huyện 311","","Tỉnh 44","Chú thích về Tỉnh 44","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 56","Chú thích về Xã 56","","Huyện 452","Chú thích về Huyện 452","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 57","Chú thích về Xã 57","","Huyện 795","Chú thích về Huyện 795","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 58","Chú thích về Xã 58","","Huyện 806","Chú thích về Huyện 806","","Tỉnh 56","Chú thích về Tỉnh 56","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 59","Chú thích về Xã 59","","Huyện 680","Chú thích về Huyện 680","","Tỉnh 14","Chú thích về Tỉnh 14","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 60","Chú thích về Xã 60","","Huyện 577","Chú thích về Huyện 577","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 61","Chú thích về Xã 61","","Huyện 330","Chú thích về Huyện 330","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 62","Chú thích về Xã 62","","Huyện 262","Chú thích về Huyện 262","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 63","Chú thích về Xã 63","","Huyện 363","Chú thích về Huyện 363","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 64","Chú thích về Xã 64","","Huyện 381","Chú thích về Huyện 381","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 65","Chú thích về Xã 65","","Huyện 962","Chú thích về Huyện 962","","Tỉnh 59","Chú thích về Tỉnh 59","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 66","Chú thích về Xã 66","","Huyện 746","Chú thích về Huyện 746","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 67","Chú thích về Xã 67","","Huyện 16","Chú thích về Huyện 16","","Tỉnh 47","Chú thích về Tỉnh 47","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 68","Chú thích về Xã 68","","Huyện 415","Chú thích về Huyện 415","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 69","Chú thích về Xã 69","","Huyện 303","Chú thích về Huyện 303","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 70","Chú thích về Xã 70","","Huyện 581","Chú thích về Huyện 581","","Tỉnh 58","Chú thích về Tỉnh 58","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 71","Chú thích về Xã 71","","Huyện 419","Chú thích về Huyện 419","","Tỉnh 20","Chú thích về Tỉnh 20","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 72","Chú thích về Xã 72","","Huyện 944","Chú thích về Huyện 944","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 73","Chú thích về Xã 73","","Huyện 569","Chú thích về Huyện 569","","Tỉnh 41","Chú thích về Tỉnh 41","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 74","Chú thích về Xã 74","","Huyện 484","Chú thích về Huyện 484","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 75","Chú thích về Xã 75","","Huyện 616","Chú thích về Huyện 616","","Tỉnh 63","Chú thích về Tỉnh 63","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 76","Chú thích về Xã 76","","Huyện 135","Chú thích về Huyện 135","","Tỉnh 17","Chú thích về Tỉnh 17","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 77","Chú thích về Xã 77","","Huyện 301","Chú thích về Huyện 301","","Tỉnh 35","Chú thích về Tỉnh 35","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 78","Chú thích về Xã 78","","Huyện 9","Chú thích về Huyện 9","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 79","Chú thích về Xã 79","","Huyện 978","Chú thích về Huyện 978","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 80","Chú thích về Xã 80","","Huyện 677","Chú thích về Huyện 677","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 81","Chú thích về Xã 81","","Huyện 180","Chú thích về Huyện 180","","Tỉnh 12","Chú thích về Tỉnh 12","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 82","Chú thích về Xã 82","","Huyện 929","Chú thích về Huyện 929","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 83","Chú thích về Xã 83","","Huyện 546","Chú thích về Huyện 546","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 84","Chú thích về Xã 84","","Huyện 76","Chú thích về Huyện 76","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 85","Chú thích về Xã 85","","Huyện 23","Chú thích về Huyện 23","","Tỉnh 47","Chú thích về Tỉnh 47","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 86","Chú thích về Xã 86","","Huyện 926","Chú thích về Huyện 926","","Tỉnh 23","Chú thích về Tỉnh 23","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 87","Chú thích về Xã 87","","Huyện 11","Chú thích về Huyện 11","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 88","Chú thích về Xã 88","","Huyện 319","Chú thích về Huyện 319","","Tỉnh 60","Chú thích về Tỉnh 60","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 89","Chú thích về Xã 89","","Huyện 95","Chú thích về Huyện 95","","Tỉnh 22","Chú thích về Tỉnh 22","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 90","Chú thích về Xã 90","","Huyện 388","Chú thích về Huyện 388","","Tỉnh 64","Chú thích về Tỉnh 64","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 91","Chú thích về Xã 91","","Huyện 164","Chú thích về Huyện 164","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 92","Chú thích về Xã 92","","Huyện 14","Chú thích về Huyện 14","","Tỉnh 22","Chú thích về Tỉnh 22","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 93","Chú thích về Xã 93","","Huyện 938","Chú thích về Huyện 938","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 94","Chú thích về Xã 94","","Huyện 35","Chú thích về Huyện 35","","Tỉnh 4","Chú thích về Tỉnh 4","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 95","Chú thích về Xã 95","","Huyện 403","Chú thích về Huyện 403","","Tỉnh 9","Chú thích về Tỉnh 9","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 96","Chú thích về Xã 96","","Huyện 521","Chú thích về Huyện 521","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 97","Chú thích về Xã 97","","Huyện 970","Chú thích về Huyện 970","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 98","Chú thích về Xã 98","","Huyện 807","Chú thích về Huyện 807","","Tỉnh 63","Chú thích về Tỉnh 63","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 99","Chú thích về Xã 99","","Huyện 60","Chú thích về Huyện 60","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 100","Chú thích về Xã 100","","Huyện 460","Chú thích về Huyện 460","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 101","Chú thích về Xã 101","","Huyện 86","Chú thích về Huyện 86","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 102","Chú thích về Xã 102","","Huyện 291","Chú thích về Huyện 291","","Tỉnh 25","Chú thích về Tỉnh 25","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 103","Chú thích về Xã 103","","Huyện 995","Chú thích về Huyện 995","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 104","Chú thích về Xã 104","","Huyện 229","Chú thích về Huyện 229","","Tỉnh 57","Chú thích về Tỉnh 57","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 105","Chú thích về Xã 105","","Huyện 237","Chú thích về Huyện 237","","Tỉnh 32","Chú thích về Tỉnh 32","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 106","Chú thích về Xã 106","","Huyện 40","Chú thích về Huyện 40","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 107","Chú thích về Xã 107","","Huyện 65","Chú thích về Huyện 65","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 108","Chú thích về Xã 108","","Huyện 182","Chú thích về Huyện 182","","Tỉnh 45","Chú thích về Tỉnh 45","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 109","Chú thích về Xã 109","","Huyện 918","Chú thích về Huyện 918","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 110","Chú thích về Xã 110","","Huyện 860","Chú thích về Huyện 860","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 111","Chú thích về Xã 111","","Huyện 248","Chú thích về Huyện 248","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 112","Chú thích về Xã 112","","Huyện 720","Chú thích về Huyện 720","","Tỉnh 54","Chú thích về Tỉnh 54","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 113","Chú thích về Xã 113","","Huyện 803","Chú thích về Huyện 803","","Tỉnh 27","Chú thích về Tỉnh 27","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 114","Chú thích về Xã 114","","Huyện 470","Chú thích về Huyện 470","","Tỉnh 37","Chú thích về Tỉnh 37","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 115","Chú thích về Xã 115","","Huyện 19","Chú thích về Huyện 19","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 116","Chú thích về Xã 116","","Huyện 96","Chú thích về Huyện 96","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 117","Chú thích về Xã 117","","Huyện 215","Chú thích về Huyện 215","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 118","Chú thích về Xã 118","","Huyện 253","Chú thích về Huyện 253","","Tỉnh 38","Chú thích về Tỉnh 38","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 119","Chú thích về Xã 119","","Huyện 802","Chú thích về Huyện 802","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 120","Chú thích về Xã 120","","Huyện 184","Chú thích về Huyện 184","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 121","Chú thích về Xã 121","","Huyện 493","Chú thích về Huyện 493","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 122","Chú thích về Xã 122","","Huyện 518","Chú thích về Huyện 518","","Tỉnh 51","Chú thích về Tỉnh 51","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 123","Chú thích về Xã 123","","Huyện 41","Chú thích về Huyện 41","","Tỉnh 53","Chú thích về Tỉnh 53","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 124","Chú thích về Xã 124","","Huyện 639","Chú thích về Huyện 639","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 125","Chú thích về Xã 125","","Huyện 609","Chú thích về Huyện 609","","Tỉnh 36","Chú thích về Tỉnh 36","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 126","Chú thích về Xã 126","","Huyện 470","Chú thích về Huyện 470","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 127","Chú thích về Xã 127","","Huyện 632","Chú thích về Huyện 632","","Tỉnh 15","Chú thích về Tỉnh 15","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 128","Chú thích về Xã 128","","Huyện 416","Chú thích về Huyện 416","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 129","Chú thích về Xã 129","","Huyện 513","Chú thích về Huyện 513","","Tỉnh 49","Chú thích về Tỉnh 49","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 130","Chú thích về Xã 130","","Huyện 652","Chú thích về Huyện 652","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 131","Chú thích về Xã 131","","Huyện 178","Chú thích về Huyện 178","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 132","Chú thích về Xã 132","","Huyện 174","Chú thích về Huyện 174","","Tỉnh 57","Chú thích về Tỉnh 57","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 133","Chú thích về Xã 133","","Huyện 588","Chú thích về Huyện 588","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 134","Chú thích về Xã 134","","Huyện 734","Chú thích về Huyện 734","","Tỉnh 49","Chú thích về Tỉnh 49","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 135","Chú thích về Xã 135","","Huyện 296","Chú thích về Huyện 296","","Tỉnh 55","Chú thích về Tỉnh 55","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 136","Chú thích về Xã 136","","Huyện 242","Chú thích về Huyện 242","","Tỉnh 51","Chú thích về Tỉnh 51","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 137","Chú thích về Xã 137","","Huyện 304","Chú thích về Huyện 304","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 138","Chú thích về Xã 138","","Huyện 724","Chú thích về Huyện 724","","Tỉnh 30","Chú thích về Tỉnh 30","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 139","Chú thích về Xã 139","","Huyện 521","Chú thích về Huyện 521","","Tỉnh 26","Chú thích về Tỉnh 26","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 140","Chú thích về Xã 140","","Huyện 277","Chú thích về Huyện 277","","Tỉnh 39","Chú thích về Tỉnh 39","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 141","Chú thích về Xã 141","","Huyện 601","Chú thích về Huyện 601","","Tỉnh 1","Chú thích về Tỉnh 1","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 142","Chú thích về Xã 142","","Huyện 38","Chú thích về Huyện 38","","Tỉnh 7","Chú thích về Tỉnh 7","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 143","Chú thích về Xã 143","","Huyện 750","Chú thích về Huyện 750","","Tỉnh 19","Chú thích về Tỉnh 19","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 144","Chú thích về Xã 144","","Huyện 606","Chú thích về Huyện 606","","Tỉnh 28","Chú thích về Tỉnh 28","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 145","Chú thích về Xã 145","","Huyện 970","Chú thích về Huyện 970","","Tỉnh 14","Chú thích về Tỉnh 14","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 146","Chú thích về Xã 146","","Huyện 160","Chú thích về Huyện 160","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:28","2020-08-25 18:45:28",""
